lacunarity fractal dimension.
8568139/1.3262542344500687,7.145753827708092,36.422142785123,227.41991104965922,nan
8407015/0.8944600938967135,5.107808449280311,20.920001819847407,257.25550519452656,2740.7901754010018,nan
8291438/0.8597899298196034,5.846782993003008,37.585580249127744,81.5310025826053,nan,nan
8068153/0.20806683066830664,1.622933696737865,12.390980761438948,87.66371540569152,472.65038643582227,319.59244427642017
8140751/0.49289959336878314,3.492994017775669,13.992963738597185,99.99345810423603,1504.0099067388696,55.97610432544807
3615883/0.5765430562468891,4.593929953617704,29.54315273339634,230.4646228853355,916.8262608236845,nan
1808706/0.7861298069327265,5.094322301603025,32.91029643034425,186.43739152658685,1039.9862959274585,28.0983963655133
8282413/0.5257636160266154,4.134354402250938,28.308037875139597,232.7936457276976,2306.7382112447335,483.0961703087735
8166871/0.5419800628157858,3.5860513574426207,30.67736945820176,259.4197034897926,2563.222024606364,2689.1892661252746
7614402/0.47518488959829736,3.2074882270174085,22.88265876786127,94.01583692192786,439.25639801313105,2452.438817511559
3318084/0.9742895700790438,6.888795384084156,17.869347570973403,22.746031836193787,161.64991621767908,1523.9188250148954
8343189/0.6761871168220375,3.98074525849397,25.07661519329184,117.80864231047453,1525.1530737834144,nan
7646993/0.6529331851302953,4.2740857740597855,26.655436998191025,209.97636953347998,4882.230778010149,68.28828681187836
8353252/0.9065420560747663,5.464299519893725,36.2676890820839,40.929602721520155,188.4344607932983,705.7919663122393
7700438/0.5824642662937932,3.5892586559328494,18.56337606863145,88.09199889259425,nan,nan
8342393/0.3193929164700205,2.543568875508904,20.79306010829809,239.10829911340377,2430.774963756943,34457.63730969111
8297255/0.3108607907563282,2.389656326993584,12.639370468727016,42.44487243177972,87.4937332105199,61.968401980718454
8234405/0.28567434836600086,2.087485795817387,13.917554863962954,76.13013883344081,770.8659482893756,36.026692656069855
8325363/0.26417289188109067,1.9642860092132473,15.06485831715331,110.70516389416677,697.6789407852264,18744.099884013507
